year,annual_return
2017,0.56517722
2018,-0.03026306
2019,-0.01029097
2020,0.43766724
2021,-0.01736776
2022,0.14366601
2023,0.14578556
2024,0.20839239
2025,0.30494218
2026,0.04468947
