ts_code,name,weight
01398.HK,工商银行,0.14035595
00939.HK,建设银行,0.13579679
00857.HK,中国石油股份,0.11797389
01288.HK,农业银行,0.10422973
03988.HK,中国银行,0.08303829
00883.HK,中国海洋石油,0.08048727
00941.HK,中国移动,0.07826531
00005.HK,汇丰控股,0.06322099
01088.HK,中国神华,0.05283831
02318.HK,中国平安,0.04346926
02628.HK,中国人寿,0.04151361
02899.HK,紫金矿业,0.03979263
