year,annual_return
2017,0.42002598
2018,-0.04430750
2019,-0.11844324
2020,0.06809736
2021,-0.05227855
2022,-0.12506914
2023,-0.17751064
2024,0.06305626
2025,0.67913747
2026,0.35470653
