year,annual_return
2017,0.34350077
2018,-0.17174798
2019,0.18757022
2020,0.72845421
2021,0.08291398
2022,-0.01090710
2023,-0.16599946
2024,-0.26554402
2025,0.60269818
2026,0.02252923
