year,annual_return
2017,0.47018141
2018,-0.19828681
2019,-0.00398088
2020,0.75571605
2021,0.02551863
2022,-0.07226479
2023,0.09900794
2024,0.22878743
2025,0.79457656
2026,0.04905166
