ts_code,name,weight
00857.HK,中国石油股份,0.11916792
01088.HK,中国神华,0.10590611
00883.HK,中国海洋石油,0.10359217
00016.HK,新鸿基地产,0.10265696
00939.HK,建设银行,0.09757285
02388.HK,中银香港,0.09737401
01398.HK,工商银行,0.09717352
01288.HK,农业银行,0.09419998
00288.HK,万洲国际,0.09316709
03698.HK,徽商银行,0.09025470
