year,annual_return
2017,0.32851286
2018,-0.17457999
2019,0.13789157
2020,0.73807777
2021,0.07529665
2022,-0.17375477
2023,-0.11860608
2024,-0.06085841
2025,0.40054005
2026,0.23431780
