ts_code,name,weight
03698.HK,徽商银行,0.18003680
06869.HK,长飞光纤光缆,0.17298832
01398.HK,工商银行,0.17288078
00288.HK,万洲国际,0.16947050
03988.HK,中国银行,0.15671892
00016.HK,新鸿基地产,0.14790468
